"id","location_id","date","PM2_5","PM10","CO","NO2","SO2","O3"
"1","101","2024-02-01","35.2","58.1","0.9","22.5","6.3","48.7"
"2","102","2024-02-01","42.5","75.3","1.1","30.2","7.1","52.8"
"3","103","2024-02-01","28.7","50.2","0.7","18.4","5.8","44.3"
"4","104","2024-02-02","50.1","85.6","1.3","35","8.2","60.5"
"5","105","2024-02-02","33.5","62.8","0.8","20.1","6","47.2"
"6","106","2024-02-02","39.1","65.4","1","24.3","6.8","50.1"
"7","107","2024-02-03","45.3","80.2","1.2","31.8","7.5","55.2"
"8","108","2024-02-03","30.5","53.7","0.8","19.7","6","46.5"
"9","109","2024-02-04","48.2","88.1","1.4","34.2","8","62.3"
"10","110","2024-02-04","31.9","59.3","0.7","21.5","5.9","45.8"
"11","111","2024-02-05","33.9","60.2","0.9","21.1","6.2","49"
"12","112","2024-02-05","40.8","78.5","1.1","29.5","7.3","54"
"13","113","2024-02-06","27.3","48.9","0.6","17.6","5.7","43.8"
"14","114","2024-02-06","46.5","86.7","1.3","33.5","7.9","61"
"15","115","2024-02-07","29.8","55.4","0.7","22","6.1","44.9"
"16","101","2024-02-07","38.4","64.2","1","23.8","6.5","50.3"
"17","103","2024-02-08","41.2","72.9","1.2","28.4","7","53.6"
"18","105","2024-02-08","36.7","66.8","0.9","25.1","6.4","49.5"
"19","110","2024-02-09","32.1","57.3","0.8","20.7","5.9","46.1"
"20","115","2024-02-09","47.6","82.4","1.3","34.7","8.1","60.9"
