"rec_id","user_id","song_id","reason"
"701","1","403","Based on your recent listens"
"702","2","404","Similar to your favorite genre"
"703","3","401","Trending in your area"
"704","4","405","Because you liked Ed Sheeran"
"705","5","402","Most played this week"
"706","1","406","Suggested by friends"
"707","2","407","Top rated by critics"
"708","3","408","Viral on social media"
"709","4","409","Best of 2024"
"710","5","410","Award-winning hit"
"711","1","401","Personalized for you"
"712","3","403","Great match for your taste"
